Region,St_Ele,St_ID,St_Lat,St_Lon,St_Name,date,region_id,NDVI_Terra_MOD13A3
Mazandaran,1805.0,99361,36.07,52.84,Alasht,2001-06-01,MASA,0.4087
Mazandaran,23.7,99309,36.48,52.47,Amol,2001-06-01,MASA,0.5287000000000001
Mazandaran,-21.0,40736,36.7,52.64,Babolsar,2001-06-01,MASA,0.3678
Mazandaran,2120.0,99357,36.2,51.8,Baladeh,2001-06-01,MASA,0.1668
Mazandaran,-20.0,99306,36.86,53.39,Bandar-E-Amirabad,2001-06-01,MASA,0.32430000000000003
Mazandaran,-10.0,99299,36.74,53.84,Galugah,2001-06-01,MASA,0.2142
Mazandaran,14.7,40737,36.49,52.11,Gharakhil,2001-06-01,MASA,0.6239
Mazandaran,1294.3,40760,36.25,53.55,Kiyasar,2001-06-01,MASA,0.2735
Mazandaran,1550.0,99348,36.39,51.73,Kojur,2001-06-01,MASA,0.22310000000000002
Mazandaran,-20.9,40734,36.66,51.47,Nowshahr,2001-06-01,MASA,0.47750000000000004
Mazandaran,610.0,99360,36.1,53.06,Polsefid,2001-06-01,MASA,0.6171
Mazandaran,-20.0,40732,36.9,50.68,Ramsar,2001-06-01,MASA,0.5808
Mazandaran,23.0,40759,36.54,53.0,Sari,2001-06-01,MASA,0.44930000000000003
Mazandaran,16.7,40788,36.64,53.2,Sari (Dasht-E-Naz Airport),2001-06-01,MASA,0.312
Mazandaran,1855.4,40735,36.23,51.3,Siahbisheh,2001-06-01,MASA,0.5306000000000001
Mazandaran,1805.0,99361,36.07,52.84,Alasht,2001-07-01,MASA,0.4078
Mazandaran,23.7,99309,36.48,52.47,Amol,2001-07-01,MASA,0.7237
Mazandaran,-21.0,40736,36.7,52.64,Babolsar,2001-07-01,MASA,0.2765
Mazandaran,2120.0,99357,36.2,51.8,Baladeh,2001-07-01,MASA,0.1608
Mazandaran,-20.0,99306,36.86,53.39,Bandar-E-Amirabad,2001-07-01,MASA,0.1303
Mazandaran,-10.0,99299,36.74,53.84,Galugah,2001-07-01,MASA,0.40590000000000004
Mazandaran,14.7,40737,36.49,52.11,Gharakhil,2001-07-01,MASA,0.674
Mazandaran,1294.3,40760,36.25,53.55,Kiyasar,2001-07-01,MASA,0.1963
Mazandaran,1550.0,99348,36.39,51.73,Kojur,2001-07-01,MASA,0.2726
Mazandaran,-20.9,40734,36.66,51.47,Nowshahr,2001-07-01,MASA,0.5432
Mazandaran,610.0,99360,36.1,53.06,Polsefid,2001-07-01,MASA,0.6746
Mazandaran,-20.0,40732,36.9,50.68,Ramsar,2001-07-01,MASA,0.638
Mazandaran,23.0,40759,36.54,53.0,Sari,2001-07-01,MASA,0.5614
Mazandaran,16.7,40788,36.64,53.2,Sari (Dasht-E-Naz Airport),2001-07-01,MASA,0.5942000000000001
Mazandaran,1855.4,40735,36.23,51.3,Siahbisheh,2001-07-01,MASA,0.5069
Mazandaran,1805.0,99361,36.07,52.84,Alasht,2001-08-01,MASA,0.3361
Mazandaran,23.7,99309,36.48,52.47,Amol,2001-08-01,MASA,0.5852
Mazandaran,-21.0,40736,36.7,52.64,Babolsar,2001-08-01,MASA,0.2305
Mazandaran,2120.0,99357,36.2,51.8,Baladeh,2001-08-01,MASA,0.1756
Mazandaran,-20.0,99306,36.86,53.39,Bandar-E-Amirabad,2001-08-01,MASA,0.0489
Mazandaran,-10.0,99299,36.74,53.84,Galugah,2001-08-01,MASA,0.43870000000000003
Mazandaran,14.7,40737,36.49,52.11,Gharakhil,2001-08-01,MASA,0.5684
Mazandaran,1294.3,40760,36.25,53.55,Kiyasar,2001-08-01,MASA,0.1748
Mazandaran,1550.0,99348,36.39,51.73,Kojur,2001-08-01,MASA,0.2912
Mazandaran,-20.9,40734,36.66,51.47,Nowshahr,2001-08-01,MASA,0.5236000000000001
Mazandaran,610.0,99360,36.1,53.06,Polsefid,2001-08-01,MASA,0.5123
Mazandaran,-20.0,40732,36.9,50.68,Ramsar,2001-08-01,MASA,0.5511
Mazandaran,23.0,40759,36.54,53.0,Sari,2001-08-01,MASA,0.45930000000000004
Mazandaran,16.7,40788,36.64,53.2,Sari (Dasht-E-Naz Airport),2001-08-01,MASA,0.43170000000000003
Mazandaran,1855.4,40735,36.23,51.3,Siahbisheh,2001-08-01,MASA,0.4788
Mazandaran,1805.0,99361,36.07,52.84,Alasht,2001-09-01,MASA,0.2899
Mazandaran,23.7,99309,36.48,52.47,Amol,2001-09-01,MASA,0.47100000000000003
Mazandaran,-21.0,40736,36.7,52.64,Babolsar,2001-09-01,MASA,0.29450000000000004
Mazandaran,2120.0,99357,36.2,51.8,Baladeh,2001-09-01,MASA,0.16390000000000002
Mazandaran,-20.0,99306,36.86,53.39,Bandar-E-Amirabad,2001-09-01,MASA,0.10250000000000001
