Region,St_Ele,St_ID,St_Lat,St_Lon,St_Name,date,region_id,EVI_Terra_MOD13A3
Mazandaran,1855.4,40735,36.23,51.3,Siahbisheh,2001-06-01,MASA,0.37270000000000003
Mazandaran,1805.0,99361,36.07,52.84,Alasht,2001-07-01,MASA,0.2363
Mazandaran,23.7,99309,36.48,52.47,Amol,2001-07-01,MASA,0.5314
Mazandaran,-21.0,40736,36.7,52.64,Babolsar,2001-07-01,MASA,0.1825
Mazandaran,2120.0,99357,36.2,51.8,Baladeh,2001-07-01,MASA,0.10690000000000001
Mazandaran,-20.0,99306,36.86,53.39,Bandar-E-Amirabad,2001-07-01,MASA,0.0437
Mazandaran,-10.0,99299,36.74,53.84,Galugah,2001-07-01,MASA,0.2948
Mazandaran,14.7,40737,36.49,52.11,Gharakhil,2001-07-01,MASA,0.4858
Mazandaran,1294.3,40760,36.25,53.55,Kiyasar,2001-07-01,MASA,0.11220000000000001
Mazandaran,1550.0,99348,36.39,51.73,Kojur,2001-07-01,MASA,0.1918
Mazandaran,-20.9,40734,36.66,51.47,Nowshahr,2001-07-01,MASA,0.27490000000000003
Mazandaran,610.0,99360,36.1,53.06,Polsefid,2001-07-01,MASA,0.3574
Mazandaran,-20.0,40732,36.9,50.68,Ramsar,2001-07-01,MASA,0.3612
Mazandaran,23.0,40759,36.54,53.0,Sari,2001-07-01,MASA,0.39730000000000004
Mazandaran,16.7,40788,36.64,53.2,Sari (Dasht-E-Naz Airport),2001-07-01,MASA,0.3844
Mazandaran,1855.4,40735,36.23,51.3,Siahbisheh,2001-07-01,MASA,0.27740000000000004
Mazandaran,1805.0,99361,36.07,52.84,Alasht,2001-08-01,MASA,0.1835
Mazandaran,23.7,99309,36.48,52.47,Amol,2001-08-01,MASA,0.42600000000000005
Mazandaran,-21.0,40736,36.7,52.64,Babolsar,2001-08-01,MASA,0.1506
Mazandaran,2120.0,99357,36.2,51.8,Baladeh,2001-08-01,MASA,0.1149
Mazandaran,-20.0,99306,36.86,53.39,Bandar-E-Amirabad,2001-08-01,MASA,0.018600000000000002
Mazandaran,-10.0,99299,36.74,53.84,Galugah,2001-08-01,MASA,0.2959
Mazandaran,14.7,40737,36.49,52.11,Gharakhil,2001-08-01,MASA,0.38280000000000003
Mazandaran,1294.3,40760,36.25,53.55,Kiyasar,2001-08-01,MASA,0.1121
Mazandaran,1550.0,99348,36.39,51.73,Kojur,2001-08-01,MASA,0.1923
Mazandaran,-20.9,40734,36.66,51.47,Nowshahr,2001-08-01,MASA,0.2748
Mazandaran,610.0,99360,36.1,53.06,Polsefid,2001-08-01,MASA,0.29610000000000003
Mazandaran,-20.0,40732,36.9,50.68,Ramsar,2001-08-01,MASA,0.3286
Mazandaran,23.0,40759,36.54,53.0,Sari,2001-08-01,MASA,0.307
Mazandaran,16.7,40788,36.64,53.2,Sari (Dasht-E-Naz Airport),2001-08-01,MASA,0.2989
Mazandaran,1855.4,40735,36.23,51.3,Siahbisheh,2001-08-01,MASA,0.2594
Mazandaran,1805.0,99361,36.07,52.84,Alasht,2001-09-01,MASA,0.1438
Mazandaran,23.7,99309,36.48,52.47,Amol,2001-09-01,MASA,0.3341
Mazandaran,-21.0,40736,36.7,52.64,Babolsar,2001-09-01,MASA,0.1583
Mazandaran,2120.0,99357,36.2,51.8,Baladeh,2001-09-01,MASA,0.1048
Mazandaran,-20.0,99306,36.86,53.39,Bandar-E-Amirabad,2001-09-01,MASA,0.026600000000000002
Mazandaran,-10.0,99299,36.74,53.84,Galugah,2001-09-01,MASA,0.24710000000000001
Mazandaran,14.7,40737,36.49,52.11,Gharakhil,2001-09-01,MASA,0.35300000000000004
