Region,St_Ele,St_ID,St_Lat,St_Lon,St_Name,date,region_id,EVI_Aqua_MYD13A3
Mazandaran,-20.0,40732,36.9,50.68,Ramsar,2003-11-01,MASA,0.2722
Mazandaran,23.0,40759,36.54,53.0,Sari,2003-11-01,MASA,0.2545
Mazandaran,16.7,40788,36.64,53.2,Sari (Dasht-E-Naz Airport),2003-11-01,MASA,0.2333
Mazandaran,1855.4,40735,36.23,51.3,Siahbisheh,2003-11-01,MASA,0.1091
Mazandaran,1805.0,99361,36.07,52.84,Alasht,2003-12-01,MASA,0.131
Mazandaran,23.7,99309,36.48,52.47,Amol,2003-12-01,MASA,0.21810000000000002
Mazandaran,-21.0,40736,36.7,52.64,Babolsar,2003-12-01,MASA,0.1221
Mazandaran,2120.0,99357,36.2,51.8,Baladeh,2003-12-01,MASA,0.0903
Mazandaran,-20.0,99306,36.86,53.39,Bandar-E-Amirabad,2003-12-01,MASA,-0.0378
Mazandaran,-10.0,99299,36.74,53.84,Galugah,2003-12-01,MASA,0.1763
Mazandaran,14.7,40737,36.49,52.11,Gharakhil,2003-12-01,MASA,0.228
Mazandaran,1294.3,40760,36.25,53.55,Kiyasar,2003-12-01,MASA,0.09820000000000001
Mazandaran,1550.0,99348,36.39,51.73,Kojur,2003-12-01,MASA,0.1804
Mazandaran,-20.9,40734,36.66,51.47,Nowshahr,2003-12-01,MASA,0.27490000000000003
Mazandaran,610.0,99360,36.1,53.06,Polsefid,2003-12-01,MASA,0.1484
Mazandaran,-20.0,40732,36.9,50.68,Ramsar,2003-12-01,MASA,0.22490000000000002
Mazandaran,23.0,40759,36.54,53.0,Sari,2003-12-01,MASA,0.2182
Mazandaran,16.7,40788,36.64,53.2,Sari (Dasht-E-Naz Airport),2003-12-01,MASA,0.19990000000000002
Mazandaran,1855.4,40735,36.23,51.3,Siahbisheh,2003-12-01,MASA,0.0268
Mazandaran,1805.0,99361,36.07,52.84,Alasht,2004-01-01,MASA,0.1202
Mazandaran,23.7,99309,36.48,52.47,Amol,2004-01-01,MASA,0.1822
Mazandaran,-21.0,40736,36.7,52.64,Babolsar,2004-01-01,MASA,0.1232
Mazandaran,2120.0,99357,36.2,51.8,Baladeh,2004-01-01,MASA,0.08800000000000001
Mazandaran,-20.0,99306,36.86,53.39,Bandar-E-Amirabad,2004-01-01,MASA,-0.0204
Mazandaran,-10.0,99299,36.74,53.84,Galugah,2004-01-01,MASA,0.1463
Mazandaran,14.7,40737,36.49,52.11,Gharakhil,2004-01-01,MASA,0.1905
Mazandaran,1294.3,40760,36.25,53.55,Kiyasar,2004-01-01,MASA,0.1009
Mazandaran,1550.0,99348,36.39,51.73,Kojur,2004-01-01,MASA,0.162
Mazandaran,-20.9,40734,36.66,51.47,Nowshahr,2004-01-01,MASA,0.1547
Mazandaran,610.0,99360,36.1,53.06,Polsefid,2004-01-01,MASA,0.12340000000000001
Mazandaran,-20.0,40732,36.9,50.68,Ramsar,2004-01-01,MASA,0.21450000000000002
Mazandaran,23.0,40759,36.54,53.0,Sari,2004-01-01,MASA,0.20170000000000002
Mazandaran,16.7,40788,36.64,53.2,Sari (Dasht-E-Naz Airport),2004-01-01,MASA,0.1819
Mazandaran,1855.4,40735,36.23,51.3,Siahbisheh,2004-01-01,MASA,0.0776
Mazandaran,1805.0,99361,36.07,52.84,Alasht,2004-02-01,MASA,0.132
Mazandaran,23.7,99309,36.48,52.47,Amol,2004-02-01,MASA,0.20450000000000002
Mazandaran,-21.0,40736,36.7,52.64,Babolsar,2004-02-01,MASA,0.1198
Mazandaran,2120.0,99357,36.2,51.8,Baladeh,2004-02-01,MASA,0.0702
Mazandaran,-20.0,99306,36.86,53.39,Bandar-E-Amirabad,2004-02-01,MASA,0.0468
