Region,St_Ele,St_ID,St_Lat,St_Lon,St_Name,date,region_id,CHIRPS
Mazandaran,610.0,99360,36.1,53.06,Polsefid,1991-05-01,MASA,35.22311735153198
Mazandaran,-20.0,40732,36.9,50.68,Ramsar,1991-05-01,MASA,18.00821304321289
Mazandaran,23.0,40759,36.54,53.0,Sari,1991-05-01,MASA,34.74102735519409
Mazandaran,16.7,40788,36.64,53.2,Sari (Dasht-E-Naz Airport),1991-05-01,MASA,29.85334348678589
Mazandaran,1855.4,40735,36.23,51.3,Siahbisheh,1991-05-01,MASA,27.397550582885742
Mazandaran,1805.0,99361,36.07,52.84,Alasht,1991-06-01,MASA,17.67517638206482
Mazandaran,23.7,99309,36.48,52.47,Amol,1991-06-01,MASA,18.430848121643066
Mazandaran,-21.0,40736,36.7,52.64,Babolsar,1991-06-01,MASA,
Mazandaran,2120.0,99357,36.2,51.8,Baladeh,1991-06-01,MASA,29.019489288330078
Mazandaran,-20.0,99306,36.86,53.39,Bandar-E-Amirabad,1991-06-01,MASA,
Mazandaran,-10.0,99299,36.74,53.84,Galugah,1991-06-01,MASA,7.569559097290039
Mazandaran,14.7,40737,36.49,52.11,Gharakhil,1991-06-01,MASA,15.080738067626953
Mazandaran,1294.3,40760,36.25,53.55,Kiyasar,1991-06-01,MASA,11.901676177978516
Mazandaran,1550.0,99348,36.39,51.73,Kojur,1991-06-01,MASA,31.459647178649902
Mazandaran,-20.9,40734,36.66,51.47,Nowshahr,1991-06-01,MASA,
Mazandaran,610.0,99360,36.1,53.06,Polsefid,1991-06-01,MASA,15.452106475830078
Mazandaran,-20.0,40732,36.9,50.68,Ramsar,1991-06-01,MASA,25.866158485412598
Mazandaran,23.0,40759,36.54,53.0,Sari,1991-06-01,MASA,17.22633981704712
Mazandaran,16.7,40788,36.64,53.2,Sari (Dasht-E-Naz Airport),1991-06-01,MASA,8.858986139297485
Mazandaran,1855.4,40735,36.23,51.3,Siahbisheh,1991-06-01,MASA,28.29666519165039
Mazandaran,1805.0,99361,36.07,52.84,Alasht,1991-07-01,MASA,27.449870586395264
Mazandaran,23.7,99309,36.48,52.47,Amol,1991-07-01,MASA,17.881415367126465
Mazandaran,-21.0,40736,36.7,52.64,Babolsar,1991-07-01,MASA,
Mazandaran,2120.0,99357,36.2,51.8,Baladeh,1991-07-01,MASA,21.83322238922119
Mazandaran,-20.0,99306,36.86,53.39,Bandar-E-Amirabad,1991-07-01,MASA,
Mazandaran,-10.0,99299,36.74,53.84,Galugah,1991-07-01,MASA,17.136311531066895
Mazandaran,14.7,40737,36.49,52.11,Gharakhil,1991-07-01,MASA,25.28403949737549
Mazandaran,1294.3,40760,36.25,53.55,Kiyasar,1991-07-01,MASA,19.17362880706787
Mazandaran,1550.0,99348,36.39,51.73,Kojur,1991-07-01,MASA,15.820065975189209
Mazandaran,-20.9,40734,36.66,51.47,Nowshahr,1991-07-01,MASA,
Mazandaran,610.0,99360,36.1,53.06,Polsefid,1991-07-01,MASA,27.418189764022827
Mazandaran,-20.0,40732,36.9,50.68,Ramsar,1991-07-01,MASA,43.47549796104431
Mazandaran,23.0,40759,36.54,53.0,Sari,1991-07-01,MASA,21.488758087158203
Mazandaran,16.7,40788,36.64,53.2,Sari (Dasht-E-Naz Airport),1991-07-01,MASA,24.479284524917603
Mazandaran,1855.4,40735,36.23,51.3,Siahbisheh,1991-07-01,MASA,20.895440816879272
Mazandaran,1805.0,99361,36.07,52.84,Alasht,1991-08-01,MASA,32.30419731140137
Mazandaran,23.7,99309,36.48,52.47,Amol,1991-08-01,MASA,25.97913408279419
Mazandaran,-21.0,40736,36.7,52.64,Babolsar,1991-08-01,MASA,
Mazandaran,2120.0,99357,36.2,51.8,Baladeh,1991-08-01,MASA,24.11138677597046
